交易日期,股票代码,股票名称,是否交易,下日_是否交易,下日_开盘涨停,下日_一字涨停,下日_开盘跌停,下日_一字跌停,下日_是否ST,下日_是否退市,下日_开盘买入涨跌幅,总市值,流通市值,换手率,振幅1,振幅2,本周期涨跌幅,下周期每天涨跌幅
2007-08-31,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.011917659804983716,239518548335.0,179333454575.0,0.02363439173156295,0.3726955655206774,0.057814914535653725,0.04403948367501909,"[0.018909090909090986, -0.029800142755174952, -0.02170314511679239, 0.0011280315848845035, -0.02516431924882634]"
2007-08-31,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.043173862310385,23770893442.4,20837113192.6,0.22327968025111414,0.2656716417910452,0.040405970545897826,0.13593539703903113,"[0.05924170616113744, -0.03355704697986561, 0.0057870370370369795, 0.023014959723820505, -0.02137232845894277]"
2007-09-07,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.04294117647058826,226061960801.0,169258175036.0,0.025354197161154838,0.442451420029895,0.057051382323021,-0.06265799927771765,"[0.0246580620304373, -0.04211317916901669, -0.023356231599607535, 0.02311093247588425, 0.0]"
2007-09-07,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.008187134502923854,24503172150.3,21479014783.8,0.2197828379707845,0.3401459854014601,0.042264616612170916,0.015169194865811031,"[-0.00919540229885063, -0.06728538283062646, 0.01990049751243772, 0.043902439024390505, 0.025700934579439227]"
2007-09-14,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.003112840466926059,221707078104.0,165997566771.0,0.020473554709922008,0.34214186369958277,0.052218558994264364,-0.0017647058823528905,"[0.012767629149479598, -0.032195500387897646, -0.007615230460921718, 0.004442649434571955, -0.015279453156413436]"
2007-09-14,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.10022779043280194,24728488675.8,21676522965.7,0.15944030536949133,0.32086330935251817,0.051524055576898486,0.026900584795321647,"[0.10022779043280194, 0.0031055900621117516, -0.04334365325077394, 0.0021574973031284195, -0.01829924650161463]"
2007-09-21,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.02448979591836742,213302154499.0,159704592820.0,0.025179655982294373,0.2138364779874209,0.047559237318601275,-0.04708171206225664,"[0.024908125765618738, -0.009561752988047845, -0.020313757039420732, 0.03469513446930805, 0.04166666666666674]"
2007-09-21,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.01758241758241752,25686083909.3,22515932738.9,0.2680881042325807,0.37077131258457463,0.057870780768425244,0.03872437357631031,"[0.015350877192982448, -0.04643628509719222, -0.028312570781426905, 0.013986013986013957, 0.020689655172414056]"
2007-09-28,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.027218493661446796,228631341592.0,171181933912.0,0.024322995668108433,0.2138364779874209,0.04733104990853929,0.0714285714285714,"[0.049523809523809526, -0.0021778584392014855, -0.015460167333575692, 0.03399224090153319, -0.017509380025013344]"
2007-09-28,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.01967213114754096,25010134332.7,21923408193.1,0.10372557067635618,0.31387808041504606,0.057789047132063266,-0.024175824175823868,"[0.010135135135135087, -0.0078037904124861335, 0.01348314606741563, -0.02328159645232808, -0.02383654937570956]"
2007-10-12,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.018909090909090875,239474999508.0,179300848492.0,0.023639646854148138,0.20293501048217988,0.050580840218842,0.025167785234899487,"[-0.01873067830514641, 0.02057079318013333, -0.006173960414018631, -0.05627626530239349, -0.008518877057115182]"
2007-10-12,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.04651162790697683,24221526493.4,21232129556.4,0.11305700238987261,0.31387808041504606,0.056453908888327645,-0.06010928961748652,"[0.04651162790697683, -0.007777777777777772, 0.0033594624860022737, -0.02343750000000011, -0.01828571428571435]"
2007-10-19,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.022012578616352085,223013542913.0,166975749251.0,0.030617843243301884,0.20293501048217988,0.051389970572716305,-0.06890909090909092,"[0.015426674477641011, 0.011346153846153895, 0.045255752044114805, 0.001819174094960907, 0.05447612130016344]"
2007-10-19,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,-0.028469750889679735,24193361927.7,21207441033.7,0.13482106664620827,0.2308626974483594,0.054212815889258345,-0.001162790697674665,"[-0.04656577415599539, 0.025641025641025772, -0.015476190476190532, -0.060459492140266025, 0.007722007722007707]"
2007-10-26,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.008688097306689846,252888038215.0,189343521949.0,0.022318719771877143,0.2041992589543018,0.05446017043895337,0.14131289308176065,"[-0.00034441191665235404, -0.0051679586563306845, 0.01800865800865803, 0.015138629018540684, -0.030328418230563092]"
2007-10-26,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.03172588832487322,22052854935.3,19331113305.4,0.06569158361123802,0.23026315789473673,0.05069306581562635,-0.07117437722419928,"[0.03831417624521083, -0.0036900369003691758, 0.00864197530864197, -0.044063647490820146, -0.05377720870678615]"
2007-11-02,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,-0.03327464788732393,252017061675.0,188691400296.0,0.017928368111600226,0.23150020218358258,0.057142235206028937,0.005560382276281528,"[-0.051149127354415125, -0.012930249499180313, 0.02730627306273048, -0.049389367816091934, 0.01416965803891923]"
2007-11-02,sh600001,邯郸钢铁,1.0,1.0,False,False,False,False,False,False,0.016304347826086918,20813614044.9,18244818304.9,0.06649986443954614,0.2755798090040926,0.05000910777346351,-0.06218274111675126,"[0.012178619756427755, 0.018716577540106805, -0.026246719160105014, -0.035040431266846306, -0.011173184357541888]"
2007-11-09,sh600000,浦发银行,1.0,1.0,False,False,False,False,False,False,0.057409879839786404,233770103175.0,175029451665.0,0.013786523662420455,0.23150020218358258,0.05249041577221948,-0.05492957746478877,"[0.032786885245901676, -0.04617604617604609, 0.01947806354009063, 0.016138007790762465, -0.03504928806133634]"
